OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,A_MEAN
13-2011,Accountants and Auditors,detailed,3024280,76588.85
27-2011,Actors,detailed,29910,0
15-2011,Actuaries,detailed,58390,117925.18
51-9191,Adhesive Bonding Machine Operators and Tenders,detailed,23800,38489.93
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,26510,104714.65
Nov-12,Administrative Services Managers,detailed,485530,110041.16
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,67500,54970.69
Nov-11,Advertising and Promotions Managers,detailed,34240,121759.9
41-3011,Advertising Sales Agents,detailed,256400,56618.76
17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,18520,71752.87
17-2011,Aerospace Engineers,detailed,109370,116633.48
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,31790,88789.59
17-2021,Agricultural Engineers,detailed,480,91791.11
45-2011,Agricultural Inspectors,detailed,22770,46873.79
25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,13660,89456.35
19-4011,Agricultural Technicians,detailed,18610,44899.83
45-2090,"Agricultural Workers, All Other",detailed,7320,33978.92
53-2021,Air Traffic Controllers,detailed,37840,114021.67
53-1011,Aircraft Cargo Handling Supervisors,detailed,18090,60999.25
49-3011,Aircraft Mechanics and Service Technicians,detailed,295370,67903.76
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",detailed,60060,51561.95
53-2022,Airfield Operations Specialists,detailed,24050,54823.82
53-2011,"Airline Pilots, Copilots, and Flight Engineers",detailed,176100,142552.38
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",detailed,29810,30054.78
39-3091,Amusement and Recreation Attendants,detailed,731080,26553.79
45-2021,Animal Breeders,detailed,900,44399.66
39-2021,Animal Caretakers,detailed,635140,30104.83
33-9011,Animal Control Workers,detailed,21990,42196.52
19-1011,Animal Scientists,detailed,1160,68020.97
39-2011,Animal Trainers,detailed,35050,36426.12
19-3091,Anthropologists and Archeologists,detailed,8300,65902.14
25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,9100,94323.23
23-1022,"Arbitrators, Mediators, and Conciliators",detailed,6220,70732
